id	text	author	date
"285588627189268480"	"Vietnam in group of fastest growing iOS &amp; Android Markets by Active Devices. http://t.co/Bb6vPZkA"	"guava7games"	"2012-12-31 03:30:09"
"285588576543076353"	"What #Startups in #Vietnam Should Do To Win in 2013 http://t.co/ia6RJ7BC"	"lupohiep"	"2012-12-31 03:29:57"
"285588467398893568"	"RT @CharlesENERO: So this is how @Kwizyne rocks at a big street party in Vietnam 👾 http://t.co/rBQbXpqk"	"Kwizyne"	"2012-12-31 03:29:31"
"285588431646633984"	"I come from Vietnam I love Narcs!"	"phamtrongkinh"	"2012-12-31 03:29:22"
"285588356333711361"	"RT @AnimalsAsia: Stop the eviction of Animals Asia's Vietnam sanctuary #27 Italia: http://t.co/f5dL9she http://t.co/mqNTGZas http://t.co/9k4nFmz6"	"crankycrocodile"	"2012-12-31 03:29:04"
"285588349991940096"	"@theresa9532 say what?!? I'm "made in Vietnam" ok!! :p"	"Helen_nie_"	"2012-12-31 03:29:03"
"285588289828831232"	"Goodbye, Vietnam!  Hello, China!  In Beijing for three nights."	"cyan2049er"	"2012-12-31 03:28:48"
"285588281213718528"	"Vietnamese Style Tuna Salad recipe. Super EASY! Time: 30 mins approx. One jar of Tonnino Tuna Fillets in Water needed http://t.co/7gur2Ya8"	"sparkymom56"	"2012-12-31 03:28:46"
"285588223382675456"	"@RollTideGirl81 Ah, I'm technically a brat, so I have been told a lot about the life. Mom was a USAF 1stLt during Vietnam, of all things."	"BachelorTrek"	"2012-12-31 03:28:33"
"285588121142296577"	"Might be going to Vietnam in the summer for a wedding 😊"	"ElleTuyenTee"	"2012-12-31 03:28:08"
"285588112934047744"	"@issimplybored Haha! Did you win in Vietnam?"	"djpat899"	"2012-12-31 03:28:06"
"285588109226299394"	"coconut candy with durian and peanut from vietnam! sounds weird but surprisingly the combination blends quite well! http://t.co/yoV1qJ9I"	"xiiuqii0408"	"2012-12-31 03:28:06"
"285588101210976256"	"RT @GoldenEagle: When You Tell Me That Libtards Didn't Spit On US War Vets Arriving Home From Vietnam You're A Total Liar.  @GoldenEagle Lived It."	"vickibeermann"	"2012-12-31 03:28:03"
"285588080864415745"	"Winning scrabble with the word XU. Thank you south Vietnam coin! #suckatspelling #stillwon"	"ceejoliver"	"2012-12-31 03:27:59"
"285587934118301696"	"My good mate Kev amongst their number. RT @AWMemorial #OnThisDay 1967: 3rd Battalion, Royal Australian Regiment arrives in South Vietnam."	"Mal_2509"	"2012-12-31 03:27:24"
"285587911661998082"	"@ballerforever_ because my suppose to be aunt was killed in the Vietnam War"	"troshay_"	"2012-12-31 03:27:18"
"285587867584036865"	"Tonight midnight:Six Essential Elements of Leadership:Marine Corps Wisdom from a Medal of Honor Recipient by Col. Wesley L. Fox Vietnam 1967"	"batchelorshow"	"2012-12-31 03:27:08"
"285587813343313921"	"RT @RWwatchMA: MT @Marnus3: I wonder why Wayne LaPierre never exercised his right to bear arms in Vietnam? #NRA #p2 #mapoli"	"geek4fun"	"2012-12-31 03:26:55"
"285587725661376512"	"RT @ASEAN_NEWSROOM: #Vietnam's Le Luong Minh has taken the SG torch from Surin since previous ASEAN Summit in Phnom Penh. His 5 yr term starts tmr, Jan 1."	"AsiaBites"	"2012-12-31 03:26:34"
"285587686352371713"	"I miss vietnamese food in vietnam .. it's one of my fave.. i'd say cambodian too but i remember it's mostly meat products"	"chickenisVIP"	"2012-12-31 03:26:25"
"285587667830329344"	""Always follow instructions. In Vietnam if you couldn't follow instructions, you came back in a body bag!" #oljames #shumanfamilyprobz"	"KathleenSarah96"	"2012-12-31 03:26:20"
"285587516822802433"	"@Marines1994 #SemperFi! Sittin here with my Vietnam era Marine watchin Football! Happy New Year 2 all U #Marines!!!! Thx for your service!"	"rlbaldwinartist"	"2012-12-31 03:25:44"
"285587400963547136"	"I remember the fifties, they were good years. Sixties were good until Vietnam when the left wing loons sold us out. Down hill ever since"	"GaryUno"	"2012-12-31 03:25:17"
"285587317425594370"	"@MsKristinKreuk Happy birthday an hope you have a blast one :) With love from Vietnam."	"EmilyP9508"	"2012-12-31 03:24:57"
"285587285561442304"	"PSS9: aimed at anti-war vietnam protesters while traveling to moscow and pakistan. pt. 5 #america"	"4lg0rithm"	"2012-12-31 03:24:49"
"285587285330780162"	"Folks in Indonesia and Vietnam are now getting the Samsung Galaxy S III Mini i8910 smartphone… http://t.co/yU9FV9ni"	"GalaxyS2mini"	"2012-12-31 03:24:49"
"285587275788713984"	"RT @batchelorshow: Tonight at 10 pm ET: Black April: The Fall of South Vietnam, 1973-75 by George J. Veith. Know Tonkin Gulf result of an aborted black op?"	"SteveEisenberg5"	"2012-12-31 03:24:47"
"285587168880123905"	"RT @batchelorshow: Tonight at 10 pm ET: Black April: The Fall of South Vietnam, 1973-75 by George J. Veith. Know Tonkin Gulf result of an aborted black op?"	"DAUGHTERofBATS"	"2012-12-31 03:24:21"
"285587094494134272"	"Just spent the last 3 days sailing around gorgeous limestone rocks in Halong Bay. #vietnam @ Halong Bay http://t.co/IPH4lPrE"	"karenchanimal"	"2012-12-31 03:24:03"
"285587041599758338"	"Tonight at 10 pm ET: Black April: The Fall of South Vietnam, 1973-75 by George J. Veith. Know Tonkin Gulf result of an aborted black op?"	"batchelorshow"	"2012-12-31 03:23:51"
"285586990966124544"	"RT @AnimalsAsia: Stop the eviction of Animals Asia's Vietnam sanctuary #27 Italia: http://t.co/f5dL9she http://t.co/mqNTGZas http://t.co/9k4nFmz6"	"veritypabla"	"2012-12-31 03:23:39"
"285586942542888960"	"@AriCatMalik im from Vietnam :) near ur place right?"	"bellathorrnefan"	"2012-12-31 03:23:27"
"285586906283139075"	"@RobHeath_ battlefield vietnam is where the funs at"	"BRENT_EAGLE"	"2012-12-31 03:23:19"
"285586885668114432"	"RT @AnimalsAsia: Stop the eviction of Animals Asia's Vietnam sanctuary #27 Italia: http://t.co/f5dL9she http://t.co/mqNTGZas http://t.co/9k4nFmz6"	"SuperTradeTimer"	"2012-12-31 03:23:14"
"285586705787006980"	"My Dad's greatest gift to me 4) For those of you who do not know Eisenhower was sending Marines TDY to Vietnam in the mid 50s"	"prfekrdumbrella"	"2012-12-31 03:22:31"
"285586705598255104"	"@Peachy_Di helped me hang up some artwork I got in Vietnam. #homesweethome http://t.co/SeW51GU5"	"IMvindaloo"	"2012-12-31 03:22:31"
"285586693464145920"	"Photo: It’s Britneyyyyyyy biiiiiiiitch #nature #hanoi #vietnam #day (at Andy’s Den) http://t.co/JoSdcCbs"	"tuananh300392"	"2012-12-31 03:22:28"
"285586680050757635"	"It's Britneyyyyyyy biiiiiiiitch #nature #hanoi #vietnam #day @ Andy's Den http://t.co/nbCaCnZZ"	"tuananh300392"	"2012-12-31 03:22:25"
"285586669279776768"	"23 Tips for taking a toddler on a trip to Vietnam by @DropoutDiaries http://t.co/nBg2wCqO"	"30Traveler"	"2012-12-31 03:22:22"
"285586556696272896"	"RT @rorycooper: MT @BuzzFeedAndrew: Schwarzkopf received Silver Star in Vietnam for personally leading soldiers out of a minefield. http://t.co/u6sIy3wP"	"salmswarlock"	"2012-12-31 03:21:55"
"285586507685842944"	"Waiting for flight from vietnam to kl :)"	"fabianmalroney"	"2012-12-31 03:21:44"
"285586409924984832"	"RT @chuckcomeau: Playing tons of new countries like India, Vietnam, Portugal, Peru, Columbia, Equator, Guatemala, Sick tours in Canada, Australia and Europe"	"QuickestTongue"	"2012-12-31 03:21:20"
"285586396306108418"	"RT @AnimalsAsia: Stop the eviction of Animals Asia's Vietnam sanctuary #27 Italia: http://t.co/f5dL9she http://t.co/mqNTGZas http://t.co/9k4nFmz6"	"vn_aid"	"2012-12-31 03:21:17"
"285586294292221953"	"I leave for 2 weeks in Vietnam on Monday (with quick stops in Hong Kong going to and from). Quick q: will the airplane celebrate New Year's?"	"nyxudisi"	"2012-12-31 03:20:53"
"285586293012959233"	"@partyhardswa @Dillpickles526 @RianSimmonds just like in vietnam....... *wistful sigh*"	"sighyaka"	"2012-12-31 03:20:52"
"285586165422227457"	"My Dad's greatest gift to me 2) this was in 1964.  The Vietnam War news was worse every night. We got into a horrible fight over the war."	"prfekrdumbrella"	"2012-12-31 03:20:22"
"285586163266383873"	"Almost 40 years after the Vietnam War, the DMZ area of Quang Tri is still struggling with the aftermath. http://t.co/UkNy3uvC #Vietnam"	"WordVietnam"	"2012-12-31 03:20:21"
"285586132983480320"	"When You Tell Me That Libtards Didn't Spit On US War Vets Arriving Home From Vietnam You're A Total Liar.  @GoldenEagle Lived It."	"GoldenEagle"	"2012-12-31 03:20:14"
"285586019766661121"	"S.korea Govt had provided comfort women http://t.co/yLVvGZws #Ukraine #Belarus #Thailand #Singapore #Vietnam #Philippines #Peru #Brazil"	"Alert_from_Asia"	"2012-12-31 03:19:47"
"285585818876248065"	"@AshleyLindgren2 there 's others chance for you:)) they had come to Vietnam this year, but i can't meet them:(( so sad, too!"	"Sunshine_VIP"	"2012-12-31 03:18:59"
"285585812425412608"	"@DiaFramps you are my favorite singer in The Voice US. It's great to see you perform in Vietnam. Amazing! Good luck to your future work :)"	"MinhLT92"	"2012-12-31 03:18:58"
"285585657785618432"	"@adamlambert Is the truth that you will go to VietNam ???"	"ilusm_schuyler"	"2012-12-31 03:18:21"
"285585557332041728"	"@ryan__toth give them all Vietnam flashbacks"	"Alery_Zach"	"2012-12-31 03:17:57"
"285585554102444033"	"In other news . . . did you know that Facebook is blocked in Vietnam?"	"drnicomartini"	"2012-12-31 03:17:56"
